Team,Number of Games the country participated in (summer),Gold (summer),Silver (summer),Bronze (summer),Total (summer),Number of Games the country participated in (winter),Gold (winter),Silver (winter),Bronze (winter),Total (winter),Number of Games the country participated in.1,Gold.1,Silver.1,Bronze.1,Total.1,Gold (difference)
Haiti,15.0,0,1,1,2,0,0,0,0,0,15,0,1,1,2,0
Mozambique,10.0,1,0,1,2,0,0,0,0,0,10,1,0,1,2,1
Ecuador,14.0,1,1,0,2,1,0,0,0,0,15,1,1,0,2,1
Zambia,13.0,0,1,1,2,0,0,0,0,0,13,0,1,1,2,0
Niger,12.0,0,1,1,2,0,0,0,0,0,12,0,1,1,2,0
Grenada,9.0,1,1,0,2,0,0,0,0,0,9,1,1,0,2,1
Bermuda,18.0,0,0,1,1,8,0,0,0,0,26,0,0,1,1,0
Barbados,12.0,0,0,1,1,0,0,0,0,0,12,0,0,1,1,0
Botswana,10.0,0,1,0,1,0,0,0,0,0,10,0,1,0,1,0
Virgin Islands,12.0,0,1,0,1,7,0,0,0,0,19,0,1,0,1,0
Kosovo,1.0,1,0,0,1,1,0,0,0,0,2,1,0,0,1,1
Tonga,9.0,0,1,0,1,2,0,0,0,0,11,0,1,0,1,0
Paraguay,12.0,0,1,0,1,1,0,0,0,0,13,0,1,0,1,0
Iraq,14.0,0,0,1,1,0,0,0,0,0,14,0,0,1,1,0
Macedonia,6.0,0,0,1,1,6,0,0,0,0,12,0,0,1,1,0
Mauritius,9.0,0,0,1,1,0,0,0,0,0,9,0,0,1,1,0
Montenegro,3.0,0,1,0,1,3,0,0,0,0,6,0,1,0,1,0
Guyana,17.0,0,0,1,1,0,0,0,0,0,17,0,0,1,1,0
Netherlands Antilles,13.0,0,1,0,1,2,0,0,0,0,15,0,1,0,1,0
Guatemala,14.0,0,1,0,1,1,0,0,0,0,15,0,1,0,1,0
Gabon,10.0,0,1,0,1,0,0,0,0,0,10,0,1,0,1,0
Togo,10.0,0,0,1,1,2,0,0,0,0,12,0,0,1,1,0
Fiji,14.0,1,0,0,1,3,0,0,0,0,17,1,0,0,1,1
Eritrea,5.0,0,0,1,1,1,0,0,0,0,6,0,0,1,1,0
Samoa,9.0,0,1,0,1,0,0,0,0,0,9,0,1,0,1,0
Jordan,10.0,1,0,0,1,0,0,0,0,0,10,1,0,0,1,1
Djibouti,8.0,0,0,1,1,0,0,0,0,0,8,0,0,1,1,0
Cyprus,10.0,0,1,0,1,11,0,0,0,0,21,0,1,0,1,0
Sudan,12.0,0,1,0,1,0,0,0,0,0,12,0,1,0,1,0
Senegal,14.0,0,1,0,1,5,0,0,0,0,19,0,1,0,1,0
